Identifiant espace vert;Typologie d'espace vert;Catégorie;Adresse - Numéro;Adresse - Complément;Adresse - type voie;Adresse - Libellé voie;Code postal;Surface calculée;Superficie totale réelle;Surface horticole;Présence cloture;Périmètre;Année de l'ouverture;Année de rénovation;Ancien nom de l'espace vert;Année de changement de nom;Nombre d'entités;Ouverture 24h_24h;ID_DIVISION;ID_ATELIER_HORTICOLE;IDA3D_ENB;SITE_VILLES;ID_EQPT;Compétence
12173;Décorations sur la voie publique;Jardiniere;2;;RUE DE;BELLEVUE;75019;90;90;90;Non;;2020;;;;8;;119;43;JDE11685;SV;11685;CP
12893;Décorations sur la voie publique;Jardiniere;4;B;RUE DE LA;PRESENTATION;75011;178;240;178;Non;;9999;;;;6;;111;11;JDE11852;SV;11852;CP
12916;Décorations sur la voie publique;Jardiniere;1;Z;VOIE;CW/18;75018;200;186;186;Non;;2021;;;;15;;118;38;JDE11875;SV;11875;CP
125;Promenades ouvertes;Square;19;;RUE;BOY ZELENSKI;75010;509;881;258;Oui;95.96170535;1986;;;;1;Oui;104;10;47266;736;3458;CA
19;Promenades ouvertes;Square;1;B;RUE;SAINT MARTIN;75004;5489;5860;3337;Oui;426.82230926;1856;;;;1;Non;101;3;78490;3397;4956;CA
23;Promenades ouvertes;Square;1;;QUAI DE L;ARCHEVECHE;75004;2871;2235;1090;Oui;269.63581156;1927;;;;1;Non;101;3;42869;49;3538;CA
166;Promenades ouvertes;Square;1;;RUE;DESCOS;75012;752;742;241;Oui;114.86339178;1877;;SQUARE DE LA MAIRIE DU XIIEME;2000;1;Oui;111;15;50481;3881;3581;CA
181;Promenades ouvertes;Promenade;2;;RUE DU;SAHEL;75012;13005;12798;7113;Oui;1614.84162431;1989;;COULEE VERTE - RUE DU SAHEL;2013;1;Non;111;13;50068 50072;928;4990;CA
281;Promenades ouvertes;Square;1;;RUE;FROIDEVAUX;75014;1882;1784;660;Oui;211.86878732;1904;;;1946;1;Oui;114;5;54365;2010;3599;CA
280;Promenades ouvertes;Square;2;;PLACE;DENFERT ROCHEREAU;75014;840;843;287;Oui;119.20263017;1896;;;1984;1;Oui;114;5;55148;2207;3617;CA
357;Promenades ouvertes;Promenade;40;V;ALLEE DES;CYGNES;75015;17748;9350;680;Non;1643.05947861;1825;;;;1;Oui;115;26;57343;4302;5004;CP
422;Promenades ouvertes;Jardin;1;;AVENUE DE LA;PORTE D'AUTEUIL;75016;14388;17500;16000;Oui;590.81615999;1954;;;1954;1;Non;116;162;59187;4038;6394;CA
898;Promenades ouvertes;Jardin;3;;AVENUE DE LA;PORTE D'AUTEUIL;75016;56137;52100;32500;Oui;1015.56112178;1954;;;;1;Non;116;162;59184;4038;6395;CP
458;Promenades ouvertes;Promenade;8;;BOULEVARD DE;REIMS;75017;6697;8075;6793;Oui;675.88406843;1978;;;1991;0;Non;117;35;60790;994;3442;CA
338;Promenades ouvertes;Square;1;;RUE;THUREAU DANGIN;75015;7128;6530;1455;Oui;457.63794229;1931;;;1946;1;Non;115;28;55963;1696;3555;CA
406;Promenades ouvertes;Square;20;;BOULEVARD;LANNES;75016;3470;3559;2075;Oui;272.11192295;1932;1980;SQUARE VICTORIEN SARDOU;1987;1;Oui;116;30;59725;4305;3679;CA
658;Promenades ouvertes;Square;85;;RUE;CURIAL;75019;628;875;648;Oui;100.67342591;1971;;;;1;Non;119;42;67475;5026;3512;CA
744;Promenades ouvertes;Square;1;;RUE;LE VAU;75020;23885;23897;10309;Oui;594.88699104;1933;;;;1;Non;120;45;69327;3512;3698;CA
468;Promenades ouvertes;Square;12;;RUE;HELENE;75017;875;940;490;Oui;119.0943339;1994;;DU 12 RUE HELENE;;1;Non;117;36;60534;629;3552;CA
784;Promenades ouvertes;Jardin;24;;RUE;HELENE JAKUBOWICZ;75020;1807;1800;1665;Oui;164.76901846;2000;;;;1;Non;120;45;68410;67;3664;CA
770;Promenades ouvertes;Square;57;B;RUE;VITRUVE;75020;1894;1930;790;Oui;184.38861314;1983;;;;1;Non;120;46;68502;3426;3546;CA
740;Promenades ouvertes;Jardin;65;;RUE DES;COURONNES;75020;5881;2870;2866;Oui;453.38808724;1925;;;;1;Non;120;44;70558;1727;5028;CA
44;Promenades ouvertes;Jardin;2;B;QUAI;SAINT BERNARD;75005;30870;33143;14291;Non;1697.74330129;1977;;;;1;Oui;113;4;44381;3620;4963;CP
14;Jardinets décoratifs;Jardinet;7;;RUE;PERREE;75003;388;236;108;Oui;117.89447849;1893;;JARDINETS DE LA MAIRIE DU IIIEME;2021;2;Non;101;2;42629;2196;3737;CA
48;Jardinets décoratifs;Square;43;T;RUE DES;ECOLES;75005;459;450;450;Oui;102.62772575;1872;;;1983;1;Non;113;4;44566;3739;3588;CA
828;Jardinets décoratifs;Plate-bande;4;;RUE DES;BERNARDINS;75005;85;118;70;Oui;50.81897452;1986;;;;1;Non;113;4;43854;1210;3812;CA
10176;Jardinets décoratifs;Jardinet;1;;RUE;DESCOS;75012;294;310;247;Non;167.02197738;1988;;;;2;;111;15;50476;3812;3796;CA
160;Jardinets décoratifs;Jardinet;13;;RUE;ALPHONSE BAUDIN;75011;258;400;400;Oui;94.53119736;1982;;;;1;Non;111;11;48408;1199;3346;CA
917;Jardinets décoratifs;Jardinet;10;;PASSAGE DES;ABBESSES;75018;482;461;190;Oui;100.56938871;;;;;1;Non;118;37;62665;1871;5054;CA
68;Jardinets décoratifs;Plate-bande;29;;RUE DU;MONTPARNASSE;75006;568;376;296;Oui;187.21222241;1935;;;;1;Non;114;5;44833;3556;3807;CA
10800;Décorations sur la voie publique;Jardinet;3;V;ROND POINT DU;PONT MIRABEAU;75015;387;363;363;Non;108.4580664;;;;;2;;115;26;JDE7407;SV;7407;CA
11216;Promenades ouvertes;Promenade;13;;QUAI DU;LOT;75019;8929;11250;9000;Non;742.9796962;2014;;;;1;Oui;119;41;204780;3109;7077;CA
67;Jardinets décoratifs;Jardinet;9;;RUE DE L;ABBAYE;75006;126;121;44;Oui;72.93620464;;;;;1;Non;114;5;44947;322;3749;CA
10050;Promenades ouvertes;Jardin;21;;ROUTE DE LA;FERME;75012;98075;;;Oui;1384.26279972;;;;;1;Non;19;151;51752;3705;422;CP
11131;Murs végétalisés;Murs vegetalises;49;;RUE;LUCIEN SAMPAIX;75010;1;;;Non;17.08892199;2005;;;;1;;104;10;JDE7241;SV;7241;CP
11206;Murs végétalisés;Murs vegetalises;2;;RUE;FERNAND LEGER;75020;21;;;Non;67.71195942;2006;;;;1;;120;44;JDE7597;SV;7597;CP
10198;Décorations sur la voie publique;Jardiniere;252;B;RUE;SAINT MARTIN;75003;175;175;175;Non;97.17238812;;2020;;;3;;101;2;JDE7117;SV;7117;CA
10199;Décorations sur la voie publique;Jardiniere;11;;RUE;DUPETIT THOUARS;75003;132;136;136;Non;130.80936971;;;;;8;;101;2;JDE7118;SV;7118;CA
65;Promenades ouvertes;Jardin;10;;RUE;VISCONTI;75006;90;80;34;Oui;38.77219796;2000;;JARDIN DE LA RUE VISCONTI;2017;1;Non;114;5;45226;282;3428;CA
25;Promenades ouvertes;Jardin;7;;PORT DE L;HOTEL DE VILLE;75004;1958;1947;908;Non;383.76792126;1933;2011;SQUARE DU PORT DE L'HOTEL DE VILLE SQUARE FEDERICO GARCIA LORCA;2013;1;Oui;101;3;43152;5830;4959;CP
84;Promenades ouvertes;Jardin;2;;AVENUE DE;TOURVILLE;75007;22496;15163;7406;Oui;869.47072148;1980;;;;1;Non;101;6;45689;3624;4975;CP
834;Jardinets décoratifs;Jardinet;4;;PLACE DE L';ALMA;75008;2900;3410;3410;Oui;498.08354106;1956;;;;1;Non;104;9;46513;910;3720;CA
26;Promenades ouvertes;Square;2;X;BOULEVARD;HENRI IV;75004;3077;2975;561;Oui;284.76290024;1938;;;;1;Oui;101;3;43158;3368;3466;CA
39;Promenades ouvertes;Square;2;;RUE DE LA;PARCHEMINERIE;75005;775;758;233;Oui;214.8853634;1923;;;;1;Non;113;4;43804;3743;3459;CA
849;Jardinets décoratifs;Jardinet;2;;PLACE;RAOUL FOLLEREAU;75010;981;1000;1000;Oui;489.87094435;1981;;;;1;Non;104;10;47131;3800;3777;CA
304;Promenades ouvertes;Square;18;;RUE;JACQUIER;75014;847;865;575;Oui;126.76682413;1981;;SQUARE BARDINET - JACQUIER;1998;1;Non;114;22;55478;1085;3589;CA
472;Promenades ouvertes;Square;55;;AVENUE DE;CLICHY;75017;1021;957;425;Oui;182.29218124;1999;;;1999;1;Non;117;36;60715;629;3579;CA
311;Promenades ouvertes;Square;24;;RUE;CAMPAGNE PREMIERE;75014;702;715;502;Oui;118.35489248;2001;;JARDIN CAMPAGNE PREMIERE;2010;1;Non;114;5;55462;360;3329;CA
462;Promenades ouvertes;Jardin;2;;ALLEE DU;GENERAL KOENIG;75017;1169;1208;685;Oui;140.93049567;1983;;;1992;1;Oui;117;34;61339;4314;3411;CA
554;Promenades ouvertes;Jardin;5;;RUE DES;AMIRAUX;75018;3010;3000;1500;Oui;228.66271813;2000;;JARDIN SIMPLON-AMIRAUX-BOINOD;;1;Non;118;38;62392;864;3699;CA
448;Promenades ouvertes;Square;2;;PLACE;STUART MERRILL;75017;1862;1925;694;Oui;262.10878707;1936;;;1976;1;Non;117;35;61152;3956;3624;CA
783;Promenades ouvertes;Square;42;;RUE;LOUIS LUMIERE;75020;1335;1333;775;Oui;164.35930809;1969;;;;1;Non;120;47;70311;3374;3475;CA
524;Promenades ouvertes;Square;36;;BOULEVARD DE LA;CHAPELLE;75018;1102;1718;1120;Oui;149.27065523;1876;;;;1;Non;118;39;64270;4216;3488;CA
10136;Promenades ouvertes;Jardin;22;;RUE;THOMAS MANN;75013;2120;2279;1640;Oui;249.78471675;2009;;;2009;1;Non;113;17;54006;4547;6133;CA
10968;Promenades ouvertes;Jardin;13;;RUE;FRANCIS PONGE;75019;2795;1065;500;Oui;313.45694896;2010;;JARDIN DE L'ANCIEN HOPITAL HEROLD;2012;1;Non;119;43;66191;613;6255;CA
230;Promenades ouvertes;Square;21;;AVENUE;BOUTROUX;75013;4563;7520;1237;Oui;414.74941871;1967;2010;SQUARE DE L'AVENUE BOUTROUX;2016;1;Non;113;17;52914;4023;3534;CA
10184;Jardinets décoratifs;Jardinet;46;;RUE;PROUDHON;75012;269;315;315;Oui;95.48390025;2005;;;;1;Non;111;15;49770;1384;3792;CA
326;Périphérique;Talus;0;;;;75014;2776;;;Non;836.11520024;;;;;1;;9999;;0;0;0;0
680;Promenades ouvertes;Plate-bande;20;;BOULEVARD;SERURIER;75019;2379;3920;3920;Oui;258.74998179;2017;;PELOUSE DU RESERVOIR DES LILAS;;1;Oui;119;43;256871;3017;6237;CA
11127;Murs végétalisés;Murs vegetalises;137;W;QUAI DE;JEMMAPES;75010;15;;;Non;46.25046327;2006;;;;9;;104;10;JDE7235;SV;7235;CP
11091;Etablissements sportifs;Espace Vert;54;B;BOULEVARD;NEY;75018;34463;2723;2723;Oui;765.58270268;;;;;1;Non;118;39;0;4141;4751 DJS;CP
95;Promenades ouvertes;Parc;1;B;PLACE DE LA;REPUBLIQUE DOMINICAINE;75008;82667;83300;54018;Oui;1255.18990235;1861;;;;1;Non;104;8;46365;3787;4978;CP
11036;Etablissements sportifs;Espace Vert;5;;VOIE;K/10;75010;1179;1196;1196;Oui;490.75807422;;;;;1;Non;104;10;47577;3930;2760 DJS;CA
10195;Décorations sur la voie publique;Jardiniere;10;;RUE;SAINT SAUVEUR;75002;39;48;18;Non;26.680484;;;;;1;;101;1;JDE6139;SV;6139;CA
10203;Décorations sur la voie publique;Jardiniere;7;;RUE DES;HAUDRIETTES;75003;259;270;130;Non;72.64292434;;2008;JARDINIERE ANGLE DES RUES DES HAUDRIETTES - TEMPLE;;1;;101;2;JDE7121;2117;7121;CA
11245;Décorations sur la voie publique;Jardiniere;6;;RUE;FRANC-NOHAIN;75013;138;164;164;Non;87.21533973;2010;;JARDINIERES DE LA RUE MARYSE BASTIE (EXTENSION NOUVELLE);2017;1;;113;17;JDE7967;SV;7967;CA
10380;Décorations sur la voie publique;Jardiniere;1;;RUE DU;COLONEL DOMINE;75013;1151;1200;1200;Non;559.31537346;2004;2019;;;12;;113;20;JDE7333;SV;7333;CA
222;Promenades ouvertes;Square;1;V;PLACE DE L';ABBE GEORGES HENOCQUE;75013;674;680;192;Oui;92.09390759;1932;;;;1;Non;113;19;53736;4292;3499;CA
10217;Décorations sur la voie publique;Jardiniere;17;;RUE;SAINT-PAUL;75004;228;165;165;Non;246.67211556;;;;;21;;101;3;JDE7137;SV;7137;CA
667;Promenades ouvertes;Jardin;39;;RUE;COMPANS;75019;2386;2444;1269;Oui;243.75350269;1989;;;;1;Non;119;43;66985;1943;3347;CA
748;Promenades ouvertes;Square;2;;RUE DE LA;DUEE;75020;8983;9050;5290;Oui;515.79054268;1937;;;;1;Non;120;45;68528;752;3551;CA
286;Promenades ouvertes;Square;72;;RUE DU;MOULIN VERT;75014;3619;3435;3000;Oui;293.69686647;1939;2004;;1961;1;Non;114;22;54831;1128;3557;CA
11243;Décorations sur la voie publique;Jardiniere;2;;RUE;OLIVIER MESSIAEN;75013;39;41;41;Non;25.62332939;2010;;;;1;;113;17;JDE7965;SV;7965;CA
11192;Murs végétalisés;Murs vegetalises;7;;RUE DE LA;MARSEILLAISE;75019;60;;;Non;110.89376256;2005;;;;1;;119;41;JDE9429;3104;9429;CP
10406;Décorations sur la voie publique;Jardiniere;28;;RUE DE;GERGOVIE;75014;65;58;50;Non;36.46964117;;;;;1;;114;22;JDE7376;SV;7376;CA
11312;Décorations sur la voie publique;Talus;35;;BOULEVARD;KELLERMAN;75013;1399;1482;1482;Non;511.98069246;2006;;;;1;;113;20;JDE8329;SV;8329;CA
10304;Décorations sur la voie publique;Jardiniere;29;;RUE;LOUIS BLANC;75010;43;50;50;Non;32.26445882;;;;;1;;104;10;JDE7231;SV;7231;CA
10318;Décorations sur la voie publique;Jardiniere;2;;RUE;JULES CESAR;75012;41;30;30;Non;33.52034759;;;;;1;;111;15;JDE7266;SV;7266;CA
10146;Promenades ouvertes;Jardin;25;;RUE DES;FRANCS BOURGEOIS;75004;897;1000;344;Oui;127.72691128;;;JARDIN DE LA BIBLIOTHEQUE HISTORIQUE DE LA VILLE DE PARIS (HOTEL LAMOIGNON);2018;1;Non;101;3;107455;720;8015 DAC;CP
11144;Murs végétalisés;Murs vegetalises;4;;RUE;FROMENT;75011;0;;;Non;7.99995895;2007;;;;5;;111;11;JDE7263;SV;7263;CP
10883;Décorations sur la voie publique;Jardiniere;61;;RUE DU;POTEAU;75018;23;21;21;Non;49.79720634;;;;;7;;118;38;JDE6223;SV;6223;CA
11321;Promenades ouvertes;Square;29;;ROUTE DE;CEINTURE DU LAC DAUMESNIL;75012;147;147;;Non;50.87618656;;;Daumesnil;;1;;7;49;51696;3705;7801;CP
10871;Décorations sur la voie publique;Jardiniere;11;;RUE DE L';EVANGILE;75018;37;150;150;Non;49.48445898;;;;;2;;118;39;JDE6212;SV;6212;CA
11248;Décorations sur la voie publique;Jardiniere;7;V;PLACE DE;CLICHY;75017;84;84;84;Non;54.06034249;2010;;;;2;;117;36;JDE8018;SV;8018;CA
11226;Décorations sur la voie publique;Jardiniere;63;V;PLACE DU;DOCTEUR FELIX LOBLIGEOIS;75017;180;167;167;Non;53.20876702;2009;;;;1;;117;36;JDE7601;SV;7601;CA
10808;Décorations sur la voie publique;Jardiniere;51;V;RUE DES;MORILLONS;75015;144;182;182;Non;53.62991173;;;;;1;;115;28;JDE7416;SV;7416;CA
