# name;planet_status;mass;mass_error_min;mass_error_max;mass_sini;mass_sini_error_min;mass_sini_error_max;radius;radius_error_min;radius_error_max;orbital_period;orbital_period_error_min;orbital_period_error_max;semi_major_axis;semi_major_axis_error_min;semi_major_axis_error_max;eccentricity;inclination;angular_distance;discovered;detection_type;mag_v;star_distance;star_mass
HD 175370 b;Confirmed;;;;4.6;1.0;1.0;;;;349.5;4.5;4.5;0.98;0.05;0.05;0.22;;;2016;Radial Velocity;7.19;272.0;1.02
HD 175541 b;Confirmed;;;;0.61;;;;;;297.3;6.0;6.0;1.03;;;0.33;;0.008047;2007;Radial Velocity;8.03;128.0;1.65
HD 175607 b;Confirmed;;;;0.0283;0.0035;0.0035;;;;29.01;0.02;0.02;;;;0.11;;;2015;Radial Velocity;8.6;45.27;0.71
HD 176051 b;Confirmed;1.5;0.3;0.3;;;;;;;1016.0;40.0;40.0;1.76;;;0.0;;0.117412;2010;Astrometry;5.22;14.99;0.9
HD 17674 b;Confirmed;;;;0.87;0.06;0.07;;;;623.8;1.5;1.6;1.42;0.05;0.04;0.0;;;2017;Radial Velocity;7.56;44.5;0.98
HD 176986 b;Confirmed;;;;0.0181;0.0021;0.0021;;;;6.4898;0.00086;0.00086;0.06296;0.00013;0.00013;0.066;;;2017;Radial Velocity;8.45;26.4;0.789
HD 176986 c;Confirmed;;;;0.0289;0.0031;0.0031;;;;16.8191;0.0044;0.0044;0.11878;0.00025;0.00025;0.111;;;2017;Radial Velocity;8.45;26.4;0.789
HD 177830 A b;Confirmed;;;;1.49;0.03;0.03;;;;406.6;0.4;0.4;1.2218;0.0008;0.0008;0.009;;0.020708;1999;Radial Velocity;7.18;59.0;1.47
HD 177830 A c;Confirmed;;;;0.15;0.03;0.03;;;;110.9;0.3;0.3;0.5137;0.0006;0.0006;0.3495;;0.008707;2010;Radial Velocity;7.18;59.0;1.47
HD 178911 B b;Confirmed;;;;6.292;0.059;0.059;;;;71.487;0.018;0.018;0.32;;;0.1243;;0.006848;2001;Radial Velocity;7.98;46.73;1.07
HD 179079 b;Confirmed;;;;0.076;0.012;0.012;;;;14.4708;0.0035;0.01;0.1214;0.007;0.0064;0.115;;0.001727;2009;Radial Velocity;7.95;63.69;1.087
HD 179949 b;Confirmed;;;;0.92;;;1.05;;;3.0925;3E-05;3E-05;0.045;0.001;0.001;0.0104;;0.001667;2000;Radial Velocity;6.25;27.0;1.28
HD 180053 b;Confirmed;;;;2.194;0.063;0.063;1.203;;;213.72;0.47;0.47;;;;;;;2013;Radial Velocity;7.9;126.3;1.75
HD 18015 b;Confirmed;;;;3.18;0.23;0.23;1.17;;;2278.0;71.0;71.0;3.87;0.32;0.32;0.148;;;2018;Radial Velocity;7.9;;1.49
HD 180314 b;Confirmed;;;;22.0;;;;;;396.03;0.62;0.62;1.4;;;0.257;;0.010606;2010;Radial Velocity;6.61;132.0;2.6
HD 180777 b;Confirmed;25.0;;;;;;;;;28.44;;;0.22;;;0.2;;0.008059;2006;Radial Velocity;5.11;27.3;1.7
HD 180902 b;Confirmed;;;;1.685;0.41;0.41;1.221;;;510.9;1.5;1.5;1.4;0.11;0.11;0.107;;0.012636;2010;Radial Velocity;7.78;110.0;1.41
HD 181234 b;Confirmed;;;;8.37;0.36;0.36;;;;7462.06;76.7;80.4;7.52;0.1;0.1;0.73;;;2019;Radial Velocity;6.0;47.84;1.01
HD 181342 b;Confirmed;;;;2.54;0.19;0.19;1.19;;;564.1;4.1;4.1;1.592;0.091;0.091;0.022;;0.016094;2010;Radial Velocity;7.55;110.6;1.69
HD 181433 b;Confirmed;;;;0.0223;0.0003;0.0003;;;;9.3745;0.0002;0.0002;0.0801;0.0001;0.0001;0.336;;0.003059;2008;Radial Velocity;8.38;26.15;0.78
HD 181433 c;Confirmed;;;;0.674;0.003;0.003;;;;1014.5;0.6;0.6;1.819;0.001;0.001;0.235;;0.067304;2008;Radial Velocity;8.38;26.15;0.78
HD 181433 d;Confirmed;;;;0.612;0.004;0.004;;;;7012.0;276.0;276.0;6.6;0.22;0.22;0.469;;0.114723;2008;Radial Velocity;8.38;26.15;0.78
HD 181720 b;Confirmed;12.12;5.88;inf;0.37;;;;;;956.0;14.0;14.0;1.78;;;0.26;1.75;0.031786;2009;Radial Velocity;7.86;56.0;0.92
HD 183263 b;Confirmed;;;;3.67;0.3;0.3;;;;626.5;1.1;1.1;1.51;0.087;0.087;0.357;;0.028491;2004;Radial Velocity;7.86;53.0;1.17
HD 183263 c;Confirmed;;;;3.82;0.59;0.59;;;;2950.0;340.0;340.0;4.25;0.47;0.47;0.253;;0.080189;2008;Radial Velocity;7.86;53.0;1.17
HD 183579 b;Confirmed;0.0302;0.132;0.0142;;;;0.3149;0.0098;0.0116;17.471278;6E-05;6E-05;0.1334;0.0062;0.0062;0.28;89.33;;2021;Primary Transit;8.7;57.06;1.031
HD 184601 b;Confirmed;;;;60.27;3.65;3.65;;;;849.35;1.45;1.45;1.76;0.08;0.08;0.49;;;2021;Radial Velocity;8.0;80.4;
HD 185269 A b;Confirmed;;;;0.94;;;;;;6.838;0.001;0.001;0.077;;;0.3;;0.001638;2006;Radial Velocity;6.67;47.0;1.28
HD 187085 b;Confirmed;;;;0.75;;;;;;986.0;;;2.05;;;0.47;;0.045576;2006;Radial Velocity;7.22;44.98;1.22
HD 187123 b;Confirmed;;;;0.52;0.04;0.04;;;;3.0965828;7.8e-06;7.8e-06;0.0426;0.0025;0.0025;0.01;;0.000852;1998;Radial Velocity;7.86;50.0;1.06
HD 187123 c;Confirmed;;;;1.99;0.25;0.25;;;;3810.0;420.0;420.0;4.89;0.53;0.53;0.252;;0.0978;1998;Radial Velocity;7.86;50.0;1.06
HD 18742 b;Confirmed;;;;3.4;1.2;1.2;1.166;;;766.0;25.0;25.0;1.82;0.14;0.14;0.04;;0.014222;2011;Radial Velocity;7.81;135.0;1.36
HD 188015 b;Confirmed;;;;1.26;;;;;;456.46;9.12;9.12;1.19;;;0.15;;0.022624;2004;Radial Velocity;8.22;52.6;1.09
HD 189567 b;Confirmed;;;;0.0267;0.0019;0.0019;;;;14.288;0.002;0.002;0.111;0.002;0.002;0.189;;0.006209;2011;Radial Velocity;6.07;17.7;
HD 189567 c;Confirmed;;;;0.022;0.0028;0.0028;;;;33.688;0.025;0.025;0.197;0.003;0.003;0.16;;;2021;Radial Velocity;6.07;17.7;
HD 189733 b;Confirmed;1.142;0.025;0.025;1.138;0.025;0.025;1.138;0.077;0.077;2.21857312;7.6e-07;7.6e-07;0.03142;0.00052;0.00052;0.0041;85.51;0.001628;2005;Primary Transit;7.67;19.3;0.8
HD 190007 b;Confirmed;;;;0.05179;0.00522;0.00522;;;;11.72;0.001;0.001;0.092;0.0008;0.0008;0.14;;;2020;Radial Velocity;;12.72;0.77
HD 190228 b;Confirmed;65.7;20.4;20.4;;;;;;;1146.0;16.0;16.0;2.0;0.5;0.5;0.5;4.5;0.030253;2002;Radial Velocity;7.3;66.11;1.3
HD 190360 b;Confirmed;;;;1.495;0.15;0.15;;;;2867.9;7.7;7.7;3.92;0.2;0.2;0.343;;;2003;Radial Velocity;5.71;15.89;1.04
HD 190360 c;Confirmed;;;;0.06381;0.00994;0.00994;;;;17.1186;0.0016;0.0016;0.128;0.002;0.002;0.107;;;2005;Radial Velocity;5.71;15.89;1.04
HD 190647 b;Confirmed;;;;1.9;0.06;0.06;;;;1038.1;4.9;4.9;2.07;0.06;0.06;0.18;;0.038192;2007;Radial Velocity;7.78;54.2;1.1
HD 190984 b;Confirmed;;;;3.1;;;;;;4885.0;;;5.5;;;0.57;;0.053398;2009;Radial Velocity;8.76;103.0;0.91
HD 191806 b;Confirmed;;;;8.52;0.63;0.63;;;;1606.3;7.2;7.2;2.8;0.1;0.1;0.259;;;2016;Radial Velocity;8.093;;1.14
HD 191939 b;Confirmed;0.0327;0.0028;0.0028;;;;0.3024;0.0062;0.0062;8.88029;2E-05;2E-05;0.078;0.004;0.004;0.0;88.06;;2020;Primary Transit;9.0;53.608;0.92
HD 191939 c;Confirmed;0.0227;0.0044;0.0044;;;;0.2748;0.062;0.062;28.5805;0.0002;0.0002;0.17;0.002;0.002;0.0;89.09;;2020;Primary Transit;9.0;53.608;0.92
HD 191939 d;Confirmed;0.0182;0.0182;0.0;;;;0.2712;0.0062;0.0062;38.3525;0.0003;0.0003;0.207;0.003;0.003;0.0;89.43;;2020;Primary Transit;9.0;53.608;0.92
HD 191939 e;Confirmed;;;;0.34;0.009;0.009;;;;101.5;0.4;0.4;8.0;4.0;4.0;0.0;;;2021;Radial Velocity;9.0;53.608;0.92
HD 192263 b;Confirmed;;;;0.733;0.015;0.015;;;;24.3587;0.0022;0.0022;0.15312;0.00095;0.00095;0.008;;0.007694;1999;Radial Velocity;7.79;19.9;0.81
HD 192699 b;Confirmed;;;;2.096;0.093;0.093;1.206;;;340.94;0.92;0.92;1.063;0.049;0.049;0.082;;0.017313;2007;Radial Velocity;6.44;67.0;1.38
HD 19467 b;Confirmed;52.0;4.3;4.3;;;;;;;;;;51.1;1.0;1.0;;;;2016;Imaging;7.0;30.86;0.95
HD 195019 b;Confirmed;;;;3.7;0.3;0.3;;;;18.20163;0.0004;0.0004;0.1388;0.008;0.008;0.014;;0.003715;1998;Radial Velocity;6.91;37.36;1.06
HD 195689 b;Confirmed;2.88;0.35;0.35;;;;1.84;0.04;0.04;1.4811235;1.1e-06;1.1e-06;0.03368;0.00078;0.00078;;87.2;;2017;Primary Transit;7.56;;
HD 196050 b;Confirmed;;;;2.83;;;;;;1316.24;;;2.47;;;0.21;;0.052665;2002;Radial Velocity;7.5;46.9;1.17
HD 196067 b;Confirmed;;;;6.9;1.1;3.9;;;;3638.0;232.0;185.0;5.02;0.19;0.19;0.66;;;2011;Radial Velocity;6.02;44.3;
HD 196885 A b;Confirmed;;;;2.98;0.05;0.05;;;;1326.0;3.7;3.7;2.6;0.1;0.1;0.48;;0.078788;2007;Radial Velocity;6.4;33.0;1.33
HD 197037 A b;Confirmed;;;;0.79;0.05;0.05;;;;1035.7;13.0;13.0;2.07;0.05;0.05;0.22;;0.062727;2012;Radial Velocity;6.81;33.0;1.11
HD 19994 A b;Confirmed;;;;1.37;0.12;0.12;;;;466.2;1.7;1.7;1.305;0.016;0.016;0.063;;0.06345;2003;Radial Velocity;5.07;22.38;1.34
HD 20003 b;Confirmed;;;;0.0378;0.0031;0.0031;;;;11.849;0.0028;0.0028;0.0974;0.0016;0.0016;0.4;;0.002224;2011;Radial Velocity;8.37;43.8;
HD 20003 c;Confirmed;;;;0.0422;0.004;0.004;;;;33.823;0.0654;0.0654;0.1961;0.0032;0.0032;0.16;;0.004477;2011;Radial Velocity;8.37;43.8;
HD 200964 b;Confirmed;;;;1.85;0.08;0.14;;;;613.8;1.4;1.3;1.601;0.002;0.002;0.04;;0.023406;2010;Radial Velocity;6.64;68.4;1.44
HD 200964 c;Confirmed;;;;0.895;0.063;0.123;;;;825.0;3.1;5.1;1.95;0.005;0.008;0.181;;0.028509;2010;Radial Velocity;6.64;68.4;1.44
HD 202206 (AB) c;Confirmed;17.9;1.8;2.9;;;;;;;1260.0;11.0;11.0;2.41;;;0.22;7.7;0.055028;2004;Radial Velocity;8.08;45.54;1.13
HD 202432 b;Confirmed;;;;1.9;0.4;0.4;;;;418.8;2.9;2.9;1.2;0.1;0.1;0.21;;;2018;Radial Velocity;7.0;161.0;1.2
HD 202696 b;Confirmed;;;;1.991;0.011;0.174;;;;528.2;12.5;1.8;1.587;0.025;0.004;0.026;;;2018;Radial Velocity;8.23;188.5;1.91
HD 202696 c;Confirmed;;;;1.917;0.212;0.116;;;;958.0;26.4;2.2;2.36;0.04;0.003;0.265;;;2018;Radial Velocity;8.23;188.5;1.91
HD 202772 A b;Confirmed;1.008;0.079;0.074;;;;1.562;0.069;0.053;3.30896;8.2e-05;8.2e-05;0.0519;0.0012;0.00075;0.047;84.2;;2018;Primary Transit;8.32;147.2;1.703
HD 203030 b;Confirmed;11.0;4.0;4.0;;;;;;;;;;487.0;;;;;;2017;Imaging;8.43;41.0;0.97
HD 203473 b;Confirmed;;;;7.84;1.15;1.15;;;;1552.9;3.4;3.4;2.73;0.17;0.17;0.289;;;2018;Radial Velocity;8.23;;1.12
HD 20367 b;Confirmed;;;;1.07;;;;;;500.0;6.0;6.0;1.25;;;0.23;;0.046296;2002;Radial Velocity;6.41;27.0;1.04
HD 2039 b;Confirmed;;;;6.11;0.82;0.82;;;;1120.0;23.0;23.0;2.23;0.13;0.13;0.67;;0.024499;2002;Radial Velocity;9.01;89.8;0.98
HD 204313 b;Confirmed;;;;4.28;0.3;0.3;;;;2024.1;3.1;3.1;3.167;0.12;0.12;0.0946;;0.064176;2009;Radial Velocity;7.99;47.37;1.045
HD 204313 c;Confirmed;;;;0.0553;0.0053;0.0053;;;;34.905;0.012;0.012;0.2099;0.0071;0.0071;0.155;;0.00444;2011;Radial Velocity;7.99;47.37;1.045
HD 204313 d;Confirmed;;;;1.68;0.3;0.3;;;;2831.6;150.0;150.0;3.93;0.14;0.14;0.28;;0.082964;2012;Radial Velocity;7.99;47.37;1.045
HD 204941 b;Confirmed;;;;0.266;0.032;0.032;;;;1733.0;74.0;74.0;2.56;0.08;0.08;0.37;;0.094815;2011;Radial Velocity;8.45;27.0;0.74
HD 205521 b;Confirmed;;;;26.62;1.64;1.64;;;;2032.32;2.42;2.42;3.26;0.15;0.15;0.17;;;2021;Radial Velocity;8.0;47.73;
HD 205739 b;Confirmed;;;;1.37;0.09;0.07;;;;279.8;0.1;0.1;0.896;0.015;0.015;0.27;;0.009922;2008;Radial Velocity;8.56;90.3;1.22
HD 206255 b;Confirmed;;;;0.1076;0.0223;0.0223;;;;96.045;0.317;0.317;0.461;0.009;0.009;0.23;;;2019;Radial Velocity;;75.41;1.42
HD 206610 b;Confirmed;;;;2.2;0.1;0.1;;;;610.0;13.0;13.0;1.68;0.05;0.05;0.229;;0.00866;2010;Radial Velocity;8.34;194.0;1.56
HD 206893 b;Confirmed;17.5;12.5;12.5;;;;1.65;0.65;0.65;9807.0;2140.0;2140.0;9.85;2.2;2.2;0.21;154.0;;2016;Imaging;6.67;38.34;1.24
HD 20781 b;Confirmed;;;;0.0379;0.0035;0.0035;;;;29.15;0.0201;0.0201;0.169;0.0028;0.0028;0.11;;0.004774;2011;Radial Velocity;8.44;35.4;
HD 20781 c;Confirmed;;;;0.0496;0.0038;0.0038;;;;85.131;0.1161;0.1161;0.3456;0.0047;0.0047;0.28;;0.009763;2011;Radial Velocity;8.44;35.4;
HD 20781 d;Confirmed;;;;0.0334;0.0037;0.0038;;;;29.158;0.01;0.0102;0.1647;0.0083;0.0076;0.11;;;2019;Radial Velocity;8.44;35.4;
HD 20781 e;Confirmed;;;;0.0442;0.0049;0.0049;;;;85.5073;0.0947;0.0983;0.3374;0.017;0.0155;0.06;;;2019;Radial Velocity;8.44;35.4;
HD 20782 b;Confirmed;;;;1.9;0.5;0.5;;;;591.9;2.8;2.8;1.381;0.005;0.005;0.97;;0.03834;2006;Radial Velocity;7.38;36.02;1.0
HD 207832 A b;Confirmed;;;;0.56;0.03;0.06;;;;161.97;0.78;0.97;0.57;0.002;0.002;0.13;;;2012;Radial Velocity;8.7986;54.4;0.94
HD 207832 A c;Confirmed;;;;0.73;0.05;0.18;;;;1155.7;37.0;71.9;2.112;0.045;0.087;0.27;;;2012;Radial Velocity;8.7986;54.4;0.94
HD 20794 b;Confirmed;;;;0.00887;0.0025;0.00031;;;;18.32;0.005;0.005;0.127;0.001;0.001;0.11;;0.019917;2011;Radial Velocity;4.26;6.06;0.813
HD 20794 d;Confirmed;;;;0.0111;0.00318;0.0018;;;;89.76;0.12;0.12;0.364;0.004;0.004;0.29;;0.057739;2011;Radial Velocity;4.26;6.06;0.813
HD 20794 e;Confirmed;;;;0.015;0.0027;0.003;;;;147.02;0.91;1.43;0.509;0.006;0.006;0.29;;;2017;Radial Velocity;4.26;6.06;0.813
HD 208487 b;Confirmed;;;;0.413;0.05;0.05;;;;129.8;0.4;0.4;0.51;0.02;0.02;0.21;;0.011333;2004;Radial Velocity;7.48;45.0;1.3
HD 208527 b;Confirmed;;;;9.9;1.7;1.7;;;;875.5;5.8;5.8;2.1;0.2;0.2;0.08;;;2012;Radial Velocity;6.4;320.2;1.6
HD 20868 b;Confirmed;;;;1.99;0.05;0.05;;;;380.85;0.09;0.09;0.947;0.012;0.012;0.75;;0.019366;2008;Radial Velocity;9.92;48.9;0.78
HD 208897 b;Confirmed;;;;1.4;0.08;0.08;;;;352.7;1.7;1.7;1.05;0.03;0.03;0.07;;;2017;Radial Velocity;6.51;64.68;1.25
HD 209458 b;Confirmed;0.69;0.017;0.017;;0.017;0.017;1.38;0.018;0.018;3.52472;2.82e-05;2.82e-05;0.04747;0.00055;0.00055;0.0082;86.59;0.00101;1999;Primary Transit;7.65;47.0;1.148
HD 210193 b;Confirmed;;;;0.4817;0.0733;0.0733;;;;649.918;8.6;8.6;1.487;0.031;0.031;0.24;;;2019;Radial Velocity;;42.25;1.04
HD 210277 b;Confirmed;;;;1.23;0.03;0.03;;;;442.1;0.4;0.4;1.1;0.02;0.02;0.472;;0.051667;1998;Radial Velocity;6.63;21.29;1.09
HD 210702 b;Confirmed;;;;1.808;0.097;0.097;1.216;;;354.1;0.7;0.7;1.148;0.057;0.057;0.028;;0.020893;2007;Radial Velocity;5.93;56.0;1.61
HD 211403 b;Confirmed;;;;5.54;0.39;0.39;;;;223.8;0.41;0.41;0.768;0.013;0.013;0.084;;;2021;Radial Velocity;8.5;83.29;1.2
HD 211810 b;Confirmed;;;;0.67;0.44;0.44;;;;1558.0;22.0;22.0;2.656;0.043;0.043;0.68;;;2018;Radial Velocity;8.59;61.0;1.03
HD 211847 b;Confirmed;;;;19.2;1.2;1.2;;;;7930.0;2000.0;2500.0;7.5;1.4;1.6;0.685;;;2011;Radial Velocity;8.78;50.6;0.94
HD 211970 b;Confirmed;;;;0.0409;0.0079;0.0079;;;;25.2;0.025;0.025;0.143;0.003;0.003;0.15;;;2019;Radial Velocity;;13.13;0.61
HD 212301 A b;Confirmed;;;;0.4;;;1.07;;;2.245715;2.8e-05;2.8e-05;0.036;;;0.0147;;0.000683;2005;Radial Velocity;7.77;52.7;1.05
HD 212771 b;Confirmed;;;;2.3;0.4;0.4;;;;373.3;3.4;3.4;1.22;0.3;0.3;0.111;;0.009313;2010;Radial Velocity;7.6;131.0;1.15
HD 213240 b;Confirmed;;;;4.5;;;;;;951.0;42.0;42.0;2.03;;;0.45;;0.049816;2001;Radial Velocity;6.8;40.75;1.22
HD 213472 b;Confirmed;;;;3.48;0.59;1.1;;;;16700.0;4800.0;12000.0;13.0;2.6;5.7;0.53;;;2021;Radial Velocity;;;
HD 213885 b;Confirmed;0.02778;0.00208;0.00208;;;;0.15568;0.00464;0.00464;1.008035;2.1e-05;2.1e-05;0.02012;0.00012;0.00015;0.0;80.09;;2019;Primary Transit;8.0;57.97;1.068
HD 213885 c;Confirmed;;;;0.06277;0.00434;0.00434;;;;4.78503;0.00051;0.00056;0.056798;0.00032;0.00044;0.0;;;2019;Radial Velocity;8.0;57.97;1.068
HD 21411 b;Confirmed;;;;0.2073;0.0805;0.0805;;;;84.288;0.127;0.127;0.362;0.007;0.007;0.4;;;2019;Radial Velocity;;29.15;0.89
HD 214823 b;Confirmed;;;;20.56;0.31;0.31;1.082;;;1853.9;1.6;1.6;3.23;0.19;0.19;0.1633;;;2016;Radial Velocity;8.078;101.7;1.31
HD 215152 b;Confirmed;;;;0.00628;0.00235;0.0013;;;;5.75942;0.00095;0.0019;0.057635;0.000755;0.000742;0.357;;;2018;Radial Velocity;6.45;21.5;0.77
HD 215152 c;Confirmed;;;;0.004801;0.00177;0.00249;;;;7.28345;0.00869;0.00343;0.067399;0.000898;0.000854;0.163;;0.003033;2011;Radial Velocity;6.45;21.5;0.77
HD 215152 d;Confirmed;;;;0.008511;0.00259;0.00287;;;;10.8642;0.005;0.00617;0.08799;0.00115;0.00113;0.333;;0.003963;2011;Radial Velocity;6.45;21.5;0.77
HD 215152 e;Confirmed;;;;0.01091;0.006711;0.00145;;;;25.1968;0.0526;0.0478;0.15417;0.00204;0.00199;0.173;;;2018;Radial Velocity;6.45;21.5;0.77
HD 215456 b;Confirmed;;;;0.101;;;;;;191.99;;;0.652;;;0.15;;0.017158;2011;Radial Velocity;6.63;38.0;
HD 215456 c;Confirmed;;;;0.246;;;;;;2277.0;;;3.394;;;0.19;;0.089316;2011;Radial Velocity;6.63;38.0;
HD 215497 b;Confirmed;;;;0.02;;;;;;3.93404;0.00066;0.00066;0.047;;;0.16;;0.001068;2009;Radial Velocity;8.97;44.0;0.87
HD 215497 c;Confirmed;;;;0.33;;;;;;567.94;2.7;2.7;1.282;;;0.49;;0.029136;2009;Radial Velocity;8.97;44.0;0.87
HD 216435 b;Confirmed;;;;1.26;0.13;0.13;;;;1311.0;49.0;49.0;2.56;0.17;0.17;0.07;;0.076877;2002;Radial Velocity;6.03;33.3;1.3
HD 216437 b;Confirmed;;;;1.82;;;;;;1256.0;35.0;35.0;2.32;;;0.29;;0.087547;2002;Radial Velocity;6.06;26.5;1.06
HD 216520 b;Confirmed;;;;0.03228;0.00311;0.00311;;;;35.45;0.011;0.011;0.198;0.0004;0.0004;0.09;;;2020;Radial Velocity;;19.56;0.82
HD 216520 c;Confirmed;;;;0.0297;0.00513;0.00513;;;;154.43;0.44;0.44;0.528;0.01;0.01;0.12;;;2020;Radial Velocity;;19.56;0.82
HD 216536 b;Confirmed;;;;1.47;0.12;0.2;;;;148.6;0.7;0.7;0.609;0.002;0.002;0.38;;;2015;Radial Velocity;9.23;;1.36
HD 216770 b;Confirmed;;;;0.65;;;;;;118.45;0.4;0.4;0.46;;;0.37;;0.012105;2003;Radial Velocity;8.1;38.0;0.9
HD 21693 b;Confirmed;;;;0.0322;0.0046;0.0046;;;;22.656;0.0236;0.0236;0.1484;0.0024;0.0024;0.26;;0.00458;2011;Radial Velocity;7.94;32.4;
HD 21693 c;Confirmed;;;;0.06472;0.0057;0.0057;;;;53.881;0.0704;0.0704;0.2644;0.0044;0.0044;0.24;;0.00816;2011;Radial Velocity;7.94;32.4;
HD 217107 b;Confirmed;;;;1.394;0.06;0.057;;;;7.126853;1.2e-05;1.2e-05;0.0746;0.0016;0.0016;0.1272;;0.003702;1998;Radial Velocity;6.16;19.72;1.02
HD 217107 c;Confirmed;;;;4.09;0.23;0.23;;;;5059.3;49.0;53.0;5.94;0.13;0.13;0.4;;0.267241;1998;Radial Velocity;6.16;19.72;1.02
HD 217786 A b;Confirmed;;;;13.0;0.8;0.8;;;;1319.0;4.0;4.0;2.38;0.04;0.04;0.4;;0.043431;2010;Radial Velocity;7.8;54.8;1.02
HD 217850 b;Confirmed;;;;22.16;0.73;0.73;;;;3508.1;2.7;2.7;4.656;0.065;0.065;0.7584;;;2018;Radial Velocity;8.5;61.0;1.03
HD 218566 b;Confirmed;;;;0.21;0.02;0.02;;;;225.7;0.4;0.4;0.6873;0.0008;0.0008;0.3;;0.022956;2010;Radial Velocity;8.63;29.94;0.85
HD 219077 b;Confirmed;;;;13.4;0.78;0.78;;;;5513.0;45.0;50.0;7.03;0.2;0.2;0.768;;;2012;Radial Velocity;6.12;29.35;1.05
HD 219134 b;Confirmed;0.01343;0.00107;0.00107;;;;0.134;0.00509;0.00509;3.093292;1.1e-05;1.1e-05;0.037;;;0.0;85.058;;2015;Primary Transit;5.57;6.55;0.794
HD 219134 c;Confirmed;0.01246;0.00107;0.00107;0.004754;0.000148;0.000148;0.12624;0.00437;0.00437;6.765159;3.6e-05;3.3e-05;0.062;;;0.0;;;2015;Radial Velocity;5.57;6.55;0.794
HD 219134 d;Confirmed;0.05236;;;0.067;0.004;0.004;;;;46.71;0.01;0.01;0.225;;;0.0;;;2015;Radial Velocity;5.57;6.55;0.794
HD 219134 e;Confirmed;;;;0.223;0.006;0.189;;;;1842.0;292.0;4199.0;2.56;0.15;3.41;0.34;;;2015;Radial Velocity;5.57;6.55;0.794
HD 219134 f;Confirmed;0.0208;;;0.028;0.003;0.003;;;;22.805;0.005;0.005;0.139;2E-05;2E-05;0.0;;;2015;Default;5.57;6.55;0.794
HD 219134 g;Confirmed;;;;0.034;0.004;0.004;;;;94.2;0.2;0.2;0.3753;0.0004;0.0004;0.0;;;2015;Radial Velocity;5.57;6.55;0.794
HD 219134 h;Confirmed;;;;0.34;0.02;0.02;;;;2198.0;51.0;51.0;3.064;0.048;0.048;0.37;;;2015;Radial Velocity;5.57;6.55;0.794
HD 219415 b;Confirmed;;;;1.0;;;;;;2093.3;32.7;32.7;3.2;;;;;;2012;Radial Velocity;8.94;;1.0
HD 219666 b;Confirmed;0.0522;0.0041;0.0041;;;;0.4202;0.0152;0.0152;6.03607;0.00064;0.00064;0.06356;0.00265;0.00265;0.0;86.38;;2018;Primary Transit;;94.4;0.92
HD 219828 b;Confirmed;;;;0.0661;0.0044;0.0044;;;;3.834887;9.6e-05;9.6e-05;0.045;;;0.059;;0.000641;2007;Radial Velocity;8.04;81.1;1.24
HD 219828 c;Confirmed;;;;15.1;0.85;0.85;;;;4791.0;75.0;75.0;5.96;;;0.8118;;;2016;Radial Velocity;8.04;81.1;1.24
HD 220074 b;Confirmed;;;;11.1;1.8;1.8;;;;672.1;3.7;3.7;1.6;0.1;0.1;0.14;;;2012;Radial Velocity;6.4;290.2;1.2
HD 220197 b;Confirmed;;;;0.2;0.04;0.07;;;;1728.0;80.0;160.0;2.729;0.085;0.168;0.187;;;2018;Radial Velocity;9.0;64.5;0.91
HD 220689 b;Confirmed;;;;1.06;0.09;0.09;;;;2209.0;103.0;81.0;3.36;0.09;0.09;0.16;;;2011;Radial Velocity;7.77;44.6;
HD 220773 b;Confirmed;;;;1.45;0.3;0.3;;;;3724.7;463.0;463.0;4.94;0.2;0.2;0.51;;0.100816;2012;Radial Velocity;7.09;49.0;1.16
HD 220842 A b;Confirmed;;;;3.18;0.15;0.15;;;;218.47;0.19;0.19;0.74;0.018;0.018;0.404;;;2016;Radial Velocity;7.99;62.5;1.13
HD 221287 b;Confirmed;;;;3.09;0.79;0.79;;;;456.1;7.7;7.7;1.25;0.04;0.04;0.08;;0.023629;2007;Radial Velocity;7.82;52.9;1.25
HD 221416 b;Confirmed;0.1904;0.0179;0.0179;;;;0.836;0.028;0.031;14.2767;0.0037;0.0037;0.1228;0.0026;0.0025;0.115;85.75;;2019;Primary Transit;8.15;95.075;1.212
HD 221420 b;Confirmed;;;;9.7;1.1;1.1;;;;22482.0;4200.0;4200.0;;;;0.42;;;2019;Radial Velocity;5.8;31.8;1.67
HD 221585 b;Confirmed;;;;1.61;0.14;0.14;;;;1173.0;16.0;16.0;2.306;0.081;0.081;0.123;;;2016;Radial Velocity;7.474;;1.19
HD 222076 b;Confirmed;;;;1.56;0.11;0.11;;;;871.0;19.0;19.0;1.83;0.03;0.03;0.08;;;2016;Radial Velocity;7.48;83.5;1.07
HD 222155 b;Confirmed;;;;1.9;0.53;0.67;;;;3999.0;541.0;541.0;5.1;0.7;0.7;0.16;;0.10387;2012;Radial Velocity;7.1;49.1;1.13
HD 222582 b;Confirmed;;;;7.75;0.65;0.65;;;;572.38;0.61;0.61;1.35;0.08;0.08;0.725;;0.032143;1999;Radial Velocity;7.7;42.0;0.99
HD 224538 b;Confirmed;;;;5.97;0.42;0.42;;;;1189.1;5.1;5.1;2.28;0.08;0.08;0.464;;;2016;Radial Velocity;8.06;77.76;1.54
HD 224693 b;Confirmed;;;;0.71;;;;;;26.73;0.02;0.02;0.233;;;0.05;;0.002479;2006;Radial Velocity;8.23;94.0;1.33
